id,recipe_id,step,description
1fca92cb-746f-496e-9c5a-93b811653212,242efc03-3606-433e-bb91-2765d394de85,1,Toss 2 cups berries with sugar.
46aa9e08-6e71-47f5-abba-a624142167a0,242efc03-3606-433e-bb91-2765d394de85,2,"Let stand for 45 minutes, stirring occasionally."
4bb807ee-d253-4b4d-9213-3ffd31f2fbc9,242efc03-3606-433e-bb91-2765d394de85,3,Transfer berry-sugar mixture to food processor.
83a81c80-1ada-4ab6-a925-e4818d6920d0,242efc03-3606-433e-bb91-2765d394de85,4,Add yogurt and process until smooth.
085d995e-b6cd-4fc7-af0f-98e0e51fa33c,242efc03-3606-433e-bb91-2765d394de85,5,Strain through fine sieve. Pour into baking pan (or transfer to ice cream maker and process according to manufacturers' directions). Freeze uncovered until edges are solid but centre is soft.  Transfer to processor and blend until smooth again.
087881e6-8b37-4f4d-99c4-2682f1901813,242efc03-3606-433e-bb91-2765d394de85,6,Return to pan and freeze until edges are solid.
b2e143b3-9e26-4c99-adf0-44bb88c52d3e,242efc03-3606-433e-bb91-2765d394de85,7,Transfer to processor and blend until smooth again.
f131d92b-8a08-445a-a372-7c75d49b6cb3,242efc03-3606-433e-bb91-2765d394de85,8,Fold in remaining 2 cups of blueberries.
51c0249e-f14e-4fab-8686-287bb9d5a4ac,242efc03-3606-433e-bb91-2765d394de85,9,Pour into plastic mold and freeze overnight. Let soften slightly to serve.
ab092416-4178-44f6-b2d6-7d6c45928485,741af8c5-d41b-4df8-a247-dcaacbb6b114,1,Soak saffron in warm milk for 5 minutes and puree in blender.
cbbfe954-f540-455f-9377-88f2ea2b2eeb,741af8c5-d41b-4df8-a247-dcaacbb6b114,2,"Add chiles, onions, ginger, garlic, cloves, peppercorns, cardamom seeds, cinnamon, coriander and cumin seeds, poppy seeds, nutmeg, mace, cilantro or mint leaves and lemon juice. Blend into smooth paste. Put paste into large bowl, add yogurt and mix well."
736c6569-1f75-4df6-9979-da04c18caed8,741af8c5-d41b-4df8-a247-dcaacbb6b114,3,"Marinate chicken in yogurt mixture with salt, covered for at least 2 - 6 hours in refrigerator."
992f8797-f638-4a28-80c8-c14fe10dc473,741af8c5-d41b-4df8-a247-dcaacbb6b114,4,In skillet. heat oil over medium heat for 1 minute. Add ghee and 15 seconds later add onion and fry for about8 minutes.
39a57752-a034-4aaa-81e1-7b3c754c4799,741af8c5-d41b-4df8-a247-dcaacbb6b114,5,Reserve for garnish.
4078db0e-9b44-417d-a06c-73445d0da77c,741af8c5-d41b-4df8-a247-dcaacbb6b114,6,"In same skillet, cook chicken with its marinade with tomatoes for about 10 minutes over medium heat, uncovered."
0f989ec5-ed36-4243-88ec-7b8931a3c90c,741af8c5-d41b-4df8-a247-dcaacbb6b114,7,"Remove chicken pieces from the sauce and set aside. Add rice to sauce, bring to boil, and cook, covered over low heat for 15 minutes."
0d38e9b1-eea2-4ebb-b1a5-d065883731e7,741af8c5-d41b-4df8-a247-dcaacbb6b114,8,"Return chicken and add raisins, cashews and almonds; mix well."
fddef1a2-5ddd-42bd-9dd3-8680f8803e2f,741af8c5-d41b-4df8-a247-dcaacbb6b114,9,"Simmer, covered for 5 minutes."
3e959cb6-96e5-4be5-abb7-b7b9f9f7de7c,741af8c5-d41b-4df8-a247-dcaacbb6b114,10,"Place chicken, eggs and rice in large serving dish in such a way that yellow of the eggs, the saffron-colored rice, the nuts and the chicken make a colorful display."
5259cc69-7d9c-4f75-bd17-0dcf57caec16,741af8c5-d41b-4df8-a247-dcaacbb6b114,11,Add reserved onion as garnish.
ac145447-f8ca-4f9d-bcbb-8f70c726f9c7,11d7116f-1524-4c17-9c25-20586adf55ad,1,"Into a 1 quart Jar with tight fitting lid, put sugar and lemon peel, or zest;  add 1 1/2 cups very hot water (not from tap!). With lid fitted firmly, shake jar until sugar is dissolved."
ad29b680-131e-40c0-93fb-746b5b10cbf6,11d7116f-1524-4c17-9c25-20586adf55ad,2,Add lemon juice. Refrigerate until chilled.
f8d54c75-3a86-4941-b0eb-c06335b3e4a9,11d7116f-1524-4c17-9c25-20586adf55ad,3,"To Serve: Into each 12-ounce glass, over ice cubes, pour 1/4 cup of the lemon syrup."
6bfcdc9c-44b0-45a7-91af-dd01c2247322,11d7116f-1524-4c17-9c25-20586adf55ad,4,"Then add chilled club soda or, if you prefer, water."
23e9833e-3c0e-42f4-96b4-b56e2abcbf76,11d7116f-1524-4c17-9c25-20586adf55ad,5,Stir to mix well.
