id,recipe_id,calories,fat,saturated_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein
8124e4cb-afa8-4198-ac86-e7b60de51315,242efc03-3606-433e-bb91-2765d394de85,170.9,2.5,1.3,8,29.8,37.1,3.6,30.2,3.2
eb407bca-1f10-4b59-bbab-2c59b3da2e30,741af8c5-d41b-4df8-a247-dcaacbb6b114,1110.7,58.8,16.6,372.8,368.4,84.4,9,20.4,63.4
ff964381-c510-4d4a-95bf-6ab0d5d8a024,11d7116f-1524-4c17-9c25-20586adf55ad,311.1,0.2,0,0,1.8,81.5,0.4,77.2,0.3
bda2f358-1536-4458-aae1-a9e9a4413b55,b41be3f6-c34b-432c-99d0-b03e143667c9,536.1,24,3.8,0,1558.6,64.2,17.3,32.1,29.3
a770000c-7097-4f52-849b-202ec4e19db8,66ad5e44-a7f7-49ba-97e3-08a579df332f,103.6,0.4,0.1,0,959.3,25.1,4.8,17.7,4.3
3b73c089-5745-4730-9172-ae0efe6382f9,f88915c7-22e4-4880-98cd-73bc89ee5564,895.5,66.8,31.9,405.8,557.2,29.1,3.1,5,45.3
09381521-434c-426b-b2e9-6608d769174b,37431a0a-78ec-4d81-8bb7-fdb4b05af29d,228,7.1,1.7,24.5,281.8,37.5,0.5,24.7,4.2
fca5d83a-af5e-4357-8772-99d13b33aa36,9f9ec71b-d983-4db2-9d14-3c2528429461,69,5.6,1.4,6.3,15,4.5,0.6,1.6,0.8
a52a753b-d843-4d07-852a-11ef941b5659,3ba3161a-93c3-4044-88ef-4f91e6e95740,627.7,24.9,13,203,848.9,13.7,0.6,2,57.9
5ba3733e-b72f-4708-ab14-85e1aea63f8e,d574b383-f920-4180-bdcc-ec747bd3cf8e,89.4,2.6,0.3,16.6,23.5,14.5,0.8,7.3,2.3
5da27e4a-5848-4219-bcb2-60336d62098f,54412fbc-6c98-4228-a327-f39418b05d55,62.2,0.1,0,1.3,36.6,12.8,0,11.8,2.7
02e31b34-23b5-4f6b-9fe0-bd14592558fc,44a5ae31-97ec-4c5e-bd82-c75418ae365a,522.6,27.1,4.9,69.8,534.8,67,1.6,47.9,5
2d928fd3-4ca6-4ea3-acf2-38d39db2b529,2e9d4dd0-e00c-4bc3-a7b6-8bb993cb6af8,415.9,36.9,5.4,0,310.6,24.9,17.3,2.8,5.5
927f653d-322c-4778-a45b-ce3c97475de9,89a323a9-54a1-4a7b-bb74-83559739c861,395.9,19.1,9.8,101.5,269.8,52.2,0.7,39.9,5
c9436e44-f808-488d-932d-f35f863901c4,18fe63e4-b345-476b-ba77-ce1579291c1a,280.1,6,1.5,66.9,591.5,22.4,6.1,9.2,29.8
d3a2fef4-6e04-4a35-8659-4eebe0bbfb7d,91a4d74c-a018-413f-a875-ba822d8a22b5,221.5,6.5,2.5,11.8,367.8,32.5,2.5,1.8,8.1
5b0da28b-5d34-421c-bdde-73a94237af19,87550764-2e33-4079-8881-fae2f305c4a6,772,3.9,0.5,0,2241.9,189.6,6.4,164.3,7
a3ad8c7c-0997-4580-9d2a-c65472046d16,33dade4a-7805-4ee8-bb63-90aca3ebe012,122.1,4.9,3,15.9,194.7,14.4,0.5,10.9,5.7
54d6ca85-02b6-4778-aca8-65f8fce302b8,a097a884-2234-4a26-89ab-bbf2d5f4df97,489.9,50.4,31.5,159,312.4,2.5,0,0.2,8.7
b2ec65fc-8e72-4097-8de0-52e41f566a20,a113a986-8c0d-4804-9fb2-1205e5adb5f8,329.7,16.7,3.4,77.5,446.8,35.6,2,1.9,9.3
31863f7f-c2d8-4234-ac31-42dde21c09af,219f0cef-978e-4d9b-8e77-f1df97a1dda0,40.9,0.6,0.1,0,23.9,8.1,3,2,2.9
9fd997d4-0322-44db-9f73-e51315d7e888,72f0dc92-189b-42f2-b0b5-90db6dce8e0c,373.8,19.9,11.8,126.3,243.8,43.9,0.8,22.2,5.5
1b6399e6-dfa6-453e-a3af-937807abc6da,33204c7b-b0f1-4c8e-974c-b64631eb2577,2123.5,119.8,9,0,49.1,244,22.6,210.7,48.9
995411c3-6a79-498f-85b5-2ebf41877d6b,fce0ffb6-f72b-45c3-89f8-761012796433,332,10.5,6.5,32.3,260.7,46,5.2,4.3,14.2
