id,title,description,prep_time,cook_time,published,category,servings,owner
242efc03-3606-433e-bb91-2765d394de85,Low-Fat Berry Blue Frozen Dessert,Make and share this Low-Fat Berry Blue Frozen Dessert recipe from Food.com.,45,240,1999-08-09,Frozen Desserts,4,
741af8c5-d41b-4df8-a247-dcaacbb6b114,Biryani,Make and share this Biryani recipe from Food.com.,240,25,1999-08-29,Chicken Breast,6,
11d7116f-1524-4c17-9c25-20586adf55ad,Best Lemonade,"This is from one of my  first Good House Keeping cookbooks.  You must use a *zester* in order to avoid getting any of that bitter rind, and when you zest the lemons, zest them onto some sugar from the recipe (the sugar will 'catch' all of the oils).  I also advise you from personal experience to use only the best skinned lemons for the best flavor.",30,5,1999-09-05,Beverages,4,
b41be3f6-c34b-432c-99d0-b03e143667c9,Carina's Tofu-Vegetable Kebabs,This dish is best prepared a day in advance to allow the ingredients to soak in  the marinade overnight.,240,20,1999-09-03,Soy/Tofu,2,
66ad5e44-a7f7-49ba-97e3-08a579df332f,Cabbage Soup,Make and share this Cabbage Soup recipe from Food.com.,20,30,1999-09-19,Vegetable,4,
f88915c7-22e4-4880-98cd-73bc89ee5564,Warm Chicken A La King,"I copied this one out of a friend's book so many moons ago that I can't remember where it's from, but it's so decadently fattening that I can't resist pigging out now and then.  I  usually serve with rice, but I suppose it would go with noodles or new potatoes  just as well.",35,3,1999-09-17,Chicken,2,
37431a0a-78ec-4d81-8bb7-fdb4b05af29d,Buttermilk Pie With Gingersnap Crumb Crust,Make and share this Buttermilk Pie With Gingersnap Crumb Crust recipe from Food.com.,30,50,1999-08-06,Pie,8,
9f9ec71b-d983-4db2-9d14-3c2528429461,Butter Pecan Cookies,Make and share this Butter Pecan Cookies recipe from Food.com.,55,9,1999-09-07,Dessert,,
3ba3161a-93c3-4044-88ef-4f91e6e95740,Chicken Breasts Lombardi,Make and share this Chicken Breasts Lombardi recipe from Food.com.,45,30,1999-08-14,Chicken Breast,6,
d574b383-f920-4180-bdcc-ec747bd3cf8e,Biscotti Di Prato,Make and share this Biscotti Di Prato recipe from Food.com.,20,50,1999-08-31,Dessert,,
54412fbc-6c98-4228-a327-f39418b05d55,Cafe Cappuccino,Make and share this Cafe Cappuccino recipe from Food.com.,5,,1999-08-31,Beverages,18,
44a5ae31-97ec-4c5e-bd82-c75418ae365a,Carrot Cake,This is one of the few recipes my husband every requested from a coworker and brought home for me to make.,45,50,1999-09-13,Dessert,12,
2e9d4dd0-e00c-4bc3-a7b6-8bb993cb6af8,Betty Crocker's Southwestern Guacamole Dip,Make and share this Betty Crocker's Southwestern Guacamole Dip recipe from Food.com.,5,120,1999-09-15,Southwestern U.S.,4,
89a323a9-54a1-4a7b-bb74-83559739c861,Buttermilk Pie,"This recipe was originally noted by my wife on a cooking show on TV.  It was touted as an Amish recipe.  All we had for a long time was the list of ingredients on the back of an old envelope.  We lost it for a good while and after I found it, I originally posted it so I would never lose it again.   Thank you all for all your interest ... this is my absolute favorite pie.  During the &quot;lost&quot; phase I must have gained 20 pounds trying numerous different buttermilk pie recipes ... I was so glad when I found it again as only a few even came close in taste and texture.  I've noted a lot of people mentioning reducing the sugar, which is fine, but bear in mind that the sugar quantity was a major difference between this and other recipes I tested when it was lost. Hey, it is a PIE, it is SUPPOSED to be sweet.  Enjoy",20,60,1999-08-30,Pie,8,
18fe63e4-b345-476b-ba77-ce1579291c1a,Low-Fat Burgundy Beef & Vegetable Stew,Make and share this Low-Fat Burgundy Beef & Vegetable Stew recipe from Food.com.,30,134,1999-08-14,Stew,6,
91a4d74c-a018-413f-a875-ba822d8a22b5,Lou's Fabulous Bruschetta,Make and share this Lou's Fabulous Bruschetta recipe from Food.com.,30,10,1999-09-13,Vegetable,8,
87550764-2e33-4079-8881-fae2f305c4a6,Black Coffee Barbecue Sauce,"It's great to know folks like this sauce so much! I wish I could take credit for it but it was adopted after the original member left. Thank you, all, just the same.
I have made the recipe with regular brewed coffee but highly recommend the espresso. In a pinch use strong instant if you have nothing else. The acid of the coffee balances the sweetness of the other ingredients.",10,20,1999-09-10,Lactose Free,,
33dade4a-7805-4ee8-bb63-90aca3ebe012,Brownie Cheesecake Torte,Make and share this Brownie Cheesecake Torte recipe from Food.com.,35,55,1999-08-22,Cheesecake,12,
a097a884-2234-4a26-89ab-bbf2d5f4df97,Alfredo Sauce,"This is my son's favorite meal. I make it with shrimp for him for his birthday every year. GREAT for company because it is so easy and yet taste wonderful! I cook this in the microwave, but I'm sure you could do it on the stove too. Times are what work in my microwave. Please use your own good judgment on times to use in your microwave. (In my quest to eat healthier, I now make it with light butter, light cream and reduced fat Parmesan cheese. It still tastes wonderful, but there isn't any guilt!)
PLEASE NOTE! This is an &quot;authentic&quot; Alfredo sauce recipe! Real Alfredo sauce *only* contains butter, cream, Parmesan cheese and pepper. It will be thin and there is no garlic in it! If you want a thicker sauce or one with garlic like modern restaurants serve, please look elsewhere! Recipe #52892 and Recipe #8596 are two good places to start.",5,10,1999-09-15,Sauces,4,
a113a986-8c0d-4804-9fb2-1205e5adb5f8,Brazilian Empadinhas,The empanadas in Brazil are different from those in other  Latin american countries and are called empadas or empadinhas. They look more like mini pies,60,157,1999-08-24,Brazilian,8,
219f0cef-978e-4d9b-8e77-f1df97a1dda0,Braised Brussels Sprouts With Vinegar and Dill,Make and share this Braised Brussels Sprouts With Vinegar and Dill recipe from Food.com.,25,23,1999-09-07,Vegetable,12,
72f0dc92-189b-42f2-b0b5-90db6dce8e0c,Butter Madeira Cake,Make and share this Butter Madeira Cake recipe from Food.com.,70,105,1999-09-12,Dessert,8,
33204c7b-b0f1-4c8e-974c-b64631eb2577,Almond Paste,Make and share this Almond Paste recipe from Food.com.,15,480,1999-08-23,Dessert,,
fce0ffb6-f72b-45c3-89f8-761012796433,Cheesy Scalloped Potato Side Dish,"--Adopted Recipe--
This is a simple scalloped potato recipe.  Everyone has their own way of preparing them, and I guess some people will like it and some won't, but this method is very similar to the way I make them.  The original directions gave the crockpot cooking method as the preferred method, with oven baking as an option.  I have reversed this option, since I don't do much cooking in the crockpot.  I hate to leave any electric appliance on when no one is at home.",25,90,1999-08-14,Potato,,
63863afb-0c9d-45a0-ae06-201366654da7,Cheeseburger Casserole,This is popular with the kids especially. My hubby and I find it a bit 'boring' but think adding mustard to it at the table helps give it a little zip.,15,25,1999-08-19,Cheese,6,
1f88e84d-5bf4-425a-9e05-ed4afd7bc7c9,Butterflied Lamb with Garlic Butter,Make and share this Butterflied Lamb with Garlic Butter recipe from Food.com.,45,255,1999-09-13,Lamb/Sheep,4,
6e27287c-a20d-449e-a436-0439802b358c,Chicken Breasts Saltimbocca,Make and share this Chicken Breasts Saltimbocca recipe from Food.com.,60,360,1999-08-14,Chicken Breast,6,
ed2c5eb1-237f-4c1b-806b-00b172932efa,Blueberry Scones,Make and share this Blueberry Scones recipe from Food.com.,55,22,1999-08-18,Scones,8,
7478fec4-27e3-484d-9f88-dd58ac9b51d4,Blueberry Cookies,Make and share this Blueberry Cookies recipe from Food.com.,240,15,1999-08-16,Drop Cookies,48,
6b03a347-f642-4a1c-a5ca-a32a6aee1948,Abby's Pecan Apple Cake,Make and share this Abby's Pecan Apple Cake recipe from Food.com.,20,70,1999-09-15,Dessert,10,
2ff7496c-f8ae-4b53-81ff-c0c95bc16513,Caramel Apple Milkshakes,Make and share this Caramel Apple Milkshakes recipe from Food.com.,25,,1999-09-12,Frozen Desserts,4,
281f3d3e-35f1-4e2f-a14f-35aec54fe61f,Champagne Punch,Here is a good punch recipe for any special occasion.  We serve this every year for Christmas Eve.  It is always a big hit.,5,,1999-08-21,Punch Beverage,20,
